Plot,Treat,Variety,Aphid_treat
101,Brun_ctrl,Brun,ctrl
102,SYO_ctrl,SYO,ctrl
103,Brun_Mfc,Brun,Mfc
104,Puma_Mfc,Puma,Mfc
105,WB_ctrl,WB,ctrl
106,SYO_Mfc,SYO,Mfc
107,Puma_BCOA,Puma,BCOA
108,Puma_ctrl,Puma,ctrl
109,WB_BCOA,WB,BCOA
110,WB_Mfc,WB,Mfc
111,SYO_BCOA,SYO,BCOA
112,Brun_BCOA,Brun,BCOA
201,Brun_BCOA,Brun,BCOA
202,Puma_ctrl,Puma,ctrl
203,SYO_Mfc,SYO,Mfc
204,SYO_ctrl,SYO,ctrl
205,Brun_ctrl,Brun,ctrl
206,Puma_Mfc,Puma,Mfc
207,WB_BCOA,WB,BCOA
208,Puma_BCOA,Puma,BCOA
209,WB_Mfc,WB,Mfc
210,SYO_BCOA,SYO,BCOA
211,Brun_Mfc,Brun,Mfc
212,WB_ctrl,WB,ctrl
301,Puma_BCOA,Puma,BCOA
302,Brun_ctrl,Brun,ctrl
303,WB_BCOA,WB,BCOA
304,Puma_ctrl,Puma,ctrl
305,Brun_BCOA,Brun,BCOA
306,WB_ctrl,WB,ctrl
307,Puma_Mfc,Puma,Mfc
308,SYO_ctrl,SYO,ctrl
309,Brun_Mfc,Brun,Mfc
310,SYO_Mfc,SYO,Mfc
311,WB_Mfc,WB,Mfc
312,SYO_BCOA,SYO,BCOA
401,SYO_BCOA,SYO,BCOA
402,Puma_ctrl,Puma,ctrl
403,Brun_BCOA,Brun,BCOA
404,SYO_ctrl,SYO,ctrl
405,WB_Mfc,WB,Mfc
406,Puma_Mfc,Puma,Mfc
407,Brun_ctrl,Brun,ctrl
408,Puma_BCOA,Puma,BCOA
409,WB_ctrl,WB,ctrl
410,Brun_Mfc,Brun,Mfc
411,SYO_Mfc,SYO,Mfc
412,WB_BCOA,WB,BCOA
